Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,Recovery,Validity
syn,qwen-2.5-7b-base,nfix,supermat,Probe,0.555364314400459,0.41229656419529837,0.7848537005163512,0.5406046235921754,0.6670283296944848,0.27591163545500524,0.2558365887222795,0.2975025765832475,0.25404500046289197,0.23090235076791127,0.27873150296628735,0.25579104801500724,0.23797317055003053,0.2815351366522248,0.7848537005163512,0.41229656419529837
syn,qwen-2.5-7b-base,supermat,pond,NTP,0.6666666666666666,,0.0,,0.5591539467026481,0.10592625266279279,0.0922533517487066,0.11959980797859047,0.10231507483575042,0.08980734334313517,0.11673367871379567,0.11120741454859216,0.09935508907022593,0.12678986209847148,0.0,0.0
syn,qwen-2.5-7b-base,supermat,pond,Probe,0.6595238095238095,0.46496815286624205,0.1422077922077922,0.21780208851317748,0.6138587873165795,0.11775967574619896,0.10470853099791186,0.13045527044359453,0.11718273054628393,0.10363967220518178,0.13005260951660194,0.127956278606683,0.11547482767588141,0.14298301716871095,0.1422077922077922,0.46496815286624205
syn,qwen-2.5-7b-base,supermat,nfix,NTP,0.6666666666666666,,0.0,,0.5393475230777625,0.13844151643902972,0.11446001687932558,0.16409084323804565,0.13744030694188414,0.11352675869324125,0.16243595359493848,0.14329312101849212,0.12087187659550892,0.17380802182660063,0.0,0.0
syn,qwen-2.5-7b-base,supermat,nfix,Probe,0.6651818856718634,0.4375,0.015590200445434299,0.030107526881720432,0.5839802381932631,0.11598277250334323,0.09307070016539289,0.1422234115134495,0.11226234245459583,0.09086210294216086,0.1378863041037469,0.12033880782750282,0.10003168287171987,0.15205943208703598,0.015590200445434299,0.4375
syn,qwen-2.5-7b-base,supermat,supermat,NTP,0.6649454962707975,0.42857142857142855,0.01549053356282272,0.029900332225913623,0.5572229908075874,0.039056594170770585,0.028426307376767993,0.06415928078638795,0.048673085883774156,0.03722700826265316,0.0747844752580439,0.051849505620971126,0.034897280555535995,0.08436525999627123,0.01549053356282272,0.42857142857142855
syn,qwen-2.5-7b-base,supermat,supermat,Probe,0.7022375215146299,0.593939393939394,0.3373493975903614,0.43029637760702527,0.7549813218944132,0.06644681249571467,0.047850778128882915,0.08616120390738115,0.06339653027375722,0.04848957442229373,0.08610923245386165,0.06348863429510064,0.04770032651827633,0.09589572751619478,0.3373493975903614,0.593939393939394
real,llama-3.1-8b,pond,pond,NTP,0.6836661053644455,0.8665254237288136,0.5214619634509138,0.6511010878217035,0.8263603900478985,0.15821746203925285,0.1467969955623041,0.17204632148964594,0.15821746203925283,0.14680404554492502,0.17197327164632226,0.19238555981468716,0.17890547729366957,0.20815714356170784,0.4077922077922078,0.8665254237288136
real,llama-3.1-8b,pond,pond,Probe,0.7096463796006736,0.7134873323397913,0.8138546536336592,0.760373238038515,0.7842695978055093,0.05442494937479947,0.04423444264288835,0.06858799691325473,0.050944950482825095,0.04276488091408461,0.0668647634371325,0.062371961638357044,0.050644921881039626,0.08019964691287539,0.6448051948051948,0.7134873323397913
real,llama-3.1-8b,pond,nfix,NTP,0.6802126200274349,0.7333333333333333,0.2688888888888889,0.39349593495934965,0.7463989081208512,0.1352437969880631,0.12540743601313192,0.14737826334632906,0.1357649296883223,0.12496605724801446,0.1473364160248332,0.15327992038557764,0.14201484233733894,0.1668600590514828,0.14347826086956522,0.7333333333333333
real,llama-3.1-8b,pond,nfix,Probe,0.5504115226337448,0.45543842836607573,0.8448888888888889,0.5918430884184308,0.68385904832806,0.23560717086496924,0.22365334309897544,0.24795943314451852,0.2356071708649692,0.22358146934634035,0.24775549351774018,0.2551157038365998,0.24310255182391513,0.26831873670487516,0.3684782608695652,0.45543842836607573
real,llama-3.1-8b,nfix,pond,NTP,0.6762852707515296,0.7507858105074091,0.5786468247101575,0.6535717775823316,0.7748958914232893,0.09323954482792425,0.0851503731643191,0.10129791869016253,0.09346383982944717,0.08640232127736922,0.10135783183573312,0.11138825008304808,0.10284373046429554,0.12061077915882706,0.47914791479147917,0.7507858105074091
